sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,20.2466,11.5861,0.346889,4.82575,20.3075,11.6988,0.384063,4.91651,0.107298,0.0984981,0.535304,0.443861
L,20.2608,11.8275,0.220439,4.83027,20.3756,11.9314,0.34269,4.91898,0.107375,0.0985527,0.532787,0.441746
R,20.2687,12.0692,0.093487,4.83159,20.3891,12.1724,0.243753,4.92184,0.107511,0.0985994,0.530377,0.439666
L,20.2701,12.3108,-0.0338694,4.82968,20.3822,12.4313,0.0978595,4.9335,0.107557,0.0988353,0.527956,0.437646
R,20.2652,12.5522,-0.161529,4.82451,20.3362,12.6776,-0.134471,4.92647,0.107264,0.099124,0.525418,0.435652
L,20.254,12.7933,-0.28939,4.81605,20.3583,12.9136,-0.210093,4.91989,0.107237,0.0993465,0.522967,0.433691
R,20.2363,13.0339,-0.417348,4.80428,20.3392,13.1539,-0.356463,4.90728,0.107197,0.0995619,0.520528,0.431756
L,20.2122,13.2738,-0.545298,4.78918,20.3033,13.3754,-0.49896,4.87777,0.107057,0.0995816,0.51811,0.429819
R,20.1818,13.5129,-0.673135,4.77072,20.2577,13.6156,-0.652639,4.85665,0.106811,0.0996114,0.515709,0.427904
L,20.1449,13.7509,-0.800753,4.74892,20.2395,13.8588,-0.75323,4.84306,0.106705,0.0996902,0.513358,0.426032
R,20.1017,13.9878,-0.928043,4.72374,20.179,14.0943,-0.92557,4.80908,0.106475,0.0997545,0.511019,0.42417
L,20.0521,14.2233,-1.0549,4.69521,20.1281,14.3346,-1.05458,4.78285,0.106239,0.0998641,0.508712,0.422337
R,19.9962,14.4573,-1.18121,4.66331,20.0516,14.5674,-1.21638,4.74127,0.105894,0.0999602,0.506447,0.420511
L,19.934,14.6897,-1.30687,4.62805,19.9516,14.804,-1.39467,4.69417,0.105437,0.100097,0.504269,0.418693
R,19.8655,14.9202,-1.43177,4.58944,19.8763,15.0288,-1.51615,4.64983,0.104978,0.100175,0.502115,0.416891
L,19.7908,15.1486,-1.55581,4.54751,19.8373,15.2507,-1.58546,4.61607,0.104611,0.100192,0.499934,0.415123
R,19.7099,15.3749,-1.67887,4.50226,19.7087,15.4695,-1.83937,4.52129,0.104159,0.100145,0.497998,0.413334
L,19.6229,15.5989,-1.80085,4.45372,19.667,15.6753,-1.89501,4.47705,0.103794,0.0999663,0.495941,0.41157
R,19.5298,15.8203,-1.92164,4.40193,19.5623,15.8897,-2.03445,4.41093,0.103396,0.099747,0.493945,0.409823
L,19.4307,16.039,-2.04114,4.3469,19.4612,16.0975,-2.15414,4.3447,0.102999,0.0994715,0.491974,0.408097
R,19.3257,16.2549,-2.15925,4.28868,19.3492,16.3099,-2.26503,4.28479,0.102591,0.0991829,0.490015,0.406393
L,19.2148,16.4679,-2.27586,4.22731,19.2346,16.4941,-2.38422,4.19779,0.102182,0.0988009,0.488085,0.404719
R,19.0981,16.6777,-2.39087,4.16284,19.108,16.6974,-2.51501,4.11886,0.101766,0.0984114,0.486211,0.403077
L,18.9757,16.8841,-2.50418,4.0953,18.9833,16.8943,-2.62713,4.04165,0.101354,0.0980149,0.484357,0.401464
R,18.8477,17.0872,-2.61571,4.02476,18.8271,17.089,-2.81217,3.92217,0.100962,0.097619,0.482723,0.399948
L,18.7142,17.2866,-2.72534,3.95127,18.6728,17.2942,-2.93954,3.84044,0.100625,0.0972301,0.481169,0.398469
R,18.5752,17.4822,-2.83299,3.87489,18.5552,17.4975,-2.96971,3.81059,0.100241,0.0968531,0.479411,0.396926
L,18.4309,17.674,-2.93858,3.79568,18.3554,17.6686,-3.13551,3.68096,0.10007,0.0964722,0.477839,0.395491
R,18.2814,17.8617,-3.042,3.71372,18.2125,17.8576,-3.19316,3.62581,0.0998639,0.0960954,0.476157,0.39402
L,18.1268,18.0453,-3.14318,3.62906,18.0752,18.0389,-3.2655,3.55128,0.0995798,0.0957238,0.47443,0.392549
R,17.9671,18.2246,-3.24204,3.5418,17.8978,18.2005,-3.38902,3.42991,0.0993825,0.0953784,0.472777,0.39116
L,17.8026,18.3994,-3.3385,3.45199,17.7513,18.3528,-3.45975,3.33096,0.099104,0.0951011,0.471089,0.389807
R,17.6334,18.5697,-3.43247,3.35973,17.6092,18.5365,-3.50169,3.28208,0.0987502,0.0947843,0.469339,0.388387
L,17.4595,18.7353,-3.5239,3.26509,17.425,18.6983,-3.59809,3.18055,0.0984238,0.0944819,0.467616,0.386993
R,17.281,18.8962,-3.61271,3.16817,17.2402,18.8459,-3.69038,3.06746,0.0981193,0.0942287,0.465916,0.385645
L,17.0983,19.0521,-3.69883,3.06904,17.0702,18.9841,-3.75912,2.96032,0.0977849,0.094061,0.464216,0.384328
R,16.9113,19.203,-3.78221,2.9678,16.9008,19.1518,-3.80543,2.90228,0.0974289,0.0938173,0.462511,0.382953
L,16.7201,19.3488,-3.86278,2.86455,16.6864,19.2614,-3.9089,2.74937,0.0971155,0.0937721,0.460836,0.38168
R,16.5251,19.4894,-3.9405,2.75938,16.4985,19.4116,-3.97109,2.66465,0.0967895,0.0936659,0.459171,0.38038
L,16.3262,19.6246,-4.01531,2.65237,16.2901,19.5511,-4.04878,2.56086,0.0964893,0.0935365,0.457525,0.379089
R,16.1237,19.7545,-4.08716,2.54364,16.0648,19.6429,-4.14606,2.39109,0.096273,0.0936777,0.455916,0.377952
L,15.9176,19.8789,-4.15602,2.43329,15.8666,19.7753,-4.20009,2.29889,0.0960271,0.0937523,0.454311,0.37678
R,15.7082,19.9978,-4.22185,2.32141,15.6706,19.8998,-4.22702,2.23476,0.0957404,0.0937829,0.452709,0.375521
L,15.4956,20.111,-4.28461,2.2081,15.4567,20.0323,-4.28405,2.14852,0.0954606,0.0936858,0.451123,0.374239
R,15.2799,20.2185,-4.34427,2.09347,15.2535,20.1657,-4.31702,2.09003,0.095154,0.0934638,0.44956,0.372937
L,15.0613,20.3203,-4.4008,1.97763,15.0601,20.2931,-4.34689,2.02163,0.0948254,0.0931682,0.448029,0.371667
R,14.84,20.4162,-4.4542,1.86068,14.8333,20.3782,-4.40478,1.8902,0.0945017,0.0929019,0.446511,0.3704
L,14.6161,20.5063,-4.50443,1.74272,14.6205,20.4902,-4.44314,1.80646,0.0941804,0.0925949,0.445018,0.369176
R,14.3897,20.5904,-4.55149,1.62386,14.3924,20.5762,-4.49534,1.68178,0.0938619,0.092289,0.443536,0.367957
L,14.1611,20.6686,-4.59537,1.50421,14.1514,20.6469,-4.54946,1.54554,0.0935498,0.0919961,0.442061,0.366736
R,13.9304,20.7408,-4.63606,1.38386,13.9205,20.7179,-4.59357,1.41417,0.0932409,0.091708,0.440599,0.36552
L,13.6977,20.807,-4.67357,1.26294,13.6617,20.775,-4.65042,1.2673,0.0929779,0.0914409,0.439142,0.364308
R,13.4632,20.8671,-4.70789,1.14153,13.4192,20.8096,-4.69936,1.07816,0.0927404,0.0912586,0.437695,0.363144
L,13.2271,20.9211,-4.73904,1.01975,13.1739,20.8552,-4.73362,0.9394,0.0925367,0.0911156,0.436263,0.362013
R,12.9895,20.969,-4.76702,0.897694,12.9439,20.9108,-4.75361,0.827661,0.0923089,0.0909405,0.434845,0.36088
L,12.7506,21.0108,-4.79186,0.775469,12.7267,20.9663,-4.76073,0.731207,0.0920308,0.0907171,0.433448,0.359732
R,12.5106,21.0465,-4.81358,0.653175,12.4829,21.0023,-4.78473,0.597462,0.0917621,0.0904953,0.432062,0.358604
L,12.2695,21.0761,-4.83219,0.530912,12.239,21.0413,-4.8034,0.48408,0.0915018,0.0902494,0.43069,0.35748
R,12.0276,21.0996,-4.84773,0.408778,12.0012,21.0612,-4.81545,0.342946,0.0912359,0.0900154,0.429333,0.356386
L,11.785,21.117,-4.86022,0.286869,11.751,21.0425,-4.82418,0.163916,0.0909884,0.0899261,0.42799,0.355397
R,11.5418,21.1283,-4.86971,0.165281,11.5047,21.0294,-4.82826,-0.00342616,0.090751,0.0899849,0.426663,0.354536
L,11.2982,21.1335,-4.87623,0.0441057,11.275,21.0323,-4.81988,-0.124848,0.0904872,0.0900592,0.425359,0.353683
R,11.0544,21.1327,-4.87982,-0.076565,11.0236,20.9941,-4.81574,-0.310533,0.0902399,0.090439,0.424074,0.353069
L,10.8105,21.1259,-4.88053,-0.196643,10.7961,20.9668,-4.79422,-0.454604,0.0899698,0.0910182,0.422826,0.352564
R,10.5666,21.1131,-4.8784,-0.31604,10.5511,20.9585,-4.78672,-0.542249,0.0897032,0.0915394,0.421595,0.351931
L,10.3229,21.0943,-4.87349,-0.434674,10.2948,20.9744,-4.79508,-0.611715,0.0894577,0.0917375,0.42036,0.351133
R,10.0795,21.0697,-4.86585,-0.552463,10.0575,20.9536,-4.7794,-0.720109,0.0892042,0.091903,0.419146,0.350316
L,9.83658,21.0391,-4.85554,-0.669327,9.83916,20.9226,-4.74736,-0.833153,0.0889369,0.0920703,0.417973,0.349495
R,9.59422,21.0028,-4.84262,-0.785189,9.60308,20.9078,-4.73268,-0.884546,0.0886745,0.0920881,0.416813,0.348538
L,9.35258,20.9607,-4.82714,-0.899977,9.38735,20.8601,-4.69424,-1.00458,0.0884522,0.0921403,0.415704,0.347598
R,9.11177,20.9128,-4.80919,-1.01362,9.15834,20.821,-4.66831,-1.10182,0.088264,0.0921387,0.41462,0.346641
L,8.87192,20.8594,-4.78881,-1.12605,8.8978,20.777,-4.66316,-1.20362,0.0880278,0.0920845,0.413518,0.345676
R,8.63315,20.8003,-4.76608,-1.2372,8.67324,20.7026,-4.62131,-1.3364,0.0878247,0.0921184,0.412462,0.344753
L,8.39557,20.7358,-4.74108,-1.34701,8.41975,20.6137,-4.59445,-1.48254,0.0875898,0.0923191,0.411419,0.34391
R,8.1593,20.6657,-4.71387,-1.45542,8.19198,20.5347,-4.55306,-1.60491,0.0873729,0.0925875,0.410416,0.343107
L,7.92445,20.5903,-4.68453,-1.56237,7.95567,20.4534,-4.51819,-1.71941,0.0871548,0.0929006,0.409435,0.342331
R,7.69111,20.5096,-4.65313,-1.66781,7.73711,20.3699,-4.46807,-1.84111,0.086976,0.0932324,0.408508,0.341607
L,7.45939,20.4237,-4.61975,-1.7717,7.4693,20.3039,-4.46752,-1.91567,0.0867332,0.0934031,0.407513,0.340813
R,7.22939,20.3326,-4.58448,-1.87399,7.24537,20.2046,-4.41955,-2.02474,0.0864975,0.0936328,0.406555,0.340042
L,7.00119,20.2364,-4.54738,-1.97462,6.99587,20.1213,-4.40091,-2.10586,0.0862565,0.0937663,0.405566,0.339233
R,6.7749,20.1352,-4.50854,-2.07357,6.7768,20.0256,-4.35579,-2.19015,0.0860167,0.0938618,0.404598,0.338401
L,6.55059,20.0292,-4.46805,-2.17079,6.5343,19.9356,-4.33343,-2.26414,0.0857873,0.0938599,0.403603,0.337536
R,6.32834,19.9183,-4.42598,-2.26625,6.32076,19.8391,-4.28691,-2.33993,0.0855531,0.0937857,0.402624,0.336651
L,6.10823,19.8027,-4.38241,-2.35993,6.07037,19.7467,-4.27555,-2.40089,0.0853649,0.0936207,0.4016,0.335744
R,5.89034,19.6824,-4.33744,-2.45178,5.85712,19.6041,-4.20298,-2.54252,0.0851678,0.0935444,0.40063,0.334897
L,5.67472,19.5577,-4.29114,-2.5418,5.65036,19.4888,-4.1475,-2.62369,0.0849562,0.0934286,0.399686,0.334045
R,5.46145,19.4284,-4.24359,-2.62995,5.45186,19.3406,-4.06763,-2.74568,0.0847305,0.0933997,0.398818,0.333254
L,5.25059,19.2948,-4.19488,-2.71622,5.2287,19.2416,-4.04357,-2.78689,0.0845188,0.0932311,0.397904,0.332402
R,5.04219,19.157,-4.1451,-2.80059,5.03051,19.124,-3.99513,-2.83526,0.084298,0.0930139,0.396996,0.331526
L,4.8363,19.015,-4.09432,-2.88305,4.84098,18.9777,-3.91983,-2.93055,0.0840754,0.0928071,0.396147,0.330666
R,4.63297,18.8689,-4.04263,-2.96359,4.64136,18.8292,-3.85323,-3.02627,0.083856,0.0926074,0.395342,0.329826
L,4.43224,18.7188,-3.99012,-3.0422,4.44593,18.699,-3.80072,-3.08493,0.0836421,0.0923758,0.394544,0.328976
R,4.23416,18.5648,-3.93685,-3.11888,4.25749,18.5533,-3.74298,-3.14326,0.083441,0.0921387,0.393764,0.328123
L,4.03876,18.4071,-3.88293,-3.19362,4.0973,18.3981,-3.64895,-3.2268,0.0833311,0.091902,0.393103,0.327281
R,3.84606,18.2457,-3.82841,-3.26644,3.91796,18.2324,-3.55784,-3.33896,0.0832762,0.0916698,0.39257,0.326478
L,3.65611,18.0807,-3.77339,-3.33732,3.69242,18.0925,-3.54896,-3.37599,0.0831031,0.0914384,0.391892,0.325651
R,3.46891,17.9122,-3.71795,-3.40627,3.51977,17.936,-3.48646,-3.42408,0.0829704,0.0912207,0.39124,0.324822
L,3.28449,17.7402,-3.66215,-3.47331,3.31209,17.772,-3.45336,-3.4814,0.0827829,0.0910171,0.390529,0.323997
R,3.10287,17.565,-3.60609,-3.53844,3.14009,17.5933,-3.36725,-3.57406,0.082616,0.0908091,0.389912,0.323188
L,2.92405,17.3866,-3.54982,-3.60167,2.94872,17.4716,-3.3519,-3.57468,0.0824267,0.0907806,0.389184,0.32238
R,2.74805,17.2051,-3.49344,-3.66302,2.80366,17.2643,-3.22144,-3.70169,0.0823144,0.0906501,0.388686,0.321585
L,2.57486,17.0205,-3.437,-3.72251,2.62887,17.0832,-3.16053,-3.76197,0.0821977,0.0905323,0.388208,0.320796
R,2.4045,16.833,-3.38059,-3.78014,2.46446,16.9089,-3.10898,-3.79407,0.0821024,0.0904654,0.387717,0.320003
L,2.23695,16.6427,-3.32428,-3.83595,2.29517,16.7364,-3.0578,-3.83533,0.0820018,0.0904815,0.387213,0.319213
R,2.07221,16.4497,-3.26812,-3.88995,2.13212,16.5391,-2.99777,-3.88738,0.0819081,0.0904765,0.386726,0.31843
L,1.91027,16.254,-3.21219,-3.94216,1.97945,16.3161,-2.90602,-3.9755,0.0818508,0.0903598,0.386374,0.317661
R,1.75112,16.0557,-3.15656,-3.99261,1.82467,16.1331,-2.85742,-4.00178,0.0818125,0.0903016,0.385998,0.31689
L,1.59474,15.8549,-3.10129,-4.04132,1.63275,15.9639,-2.85875,-4.01244,0.0816574,0.0904014,0.385433,0.31613
R,1.44111,15.6517,-3.04644,-4.08832,1.50656,15.7417,-2.73819,-4.1054,0.0815872,0.0903992,0.385099,0.315371
L,1.29021,15.4463,-2.99207,-4.13364,1.34194,15.5307,-2.69077,-4.15634,0.0814704,0.0903715,0.384742,0.31462
R,1.14201,15.2386,-2.93825,-4.1773,1.19551,15.3346,-2.63777,-4.18797,0.08136,0.0903991,0.384384,0.313871
L,0.996486,15.0288,-2.88503,-4.21933,1.00588,15.1261,-2.63567,-4.2205,0.0811695,0.090433,0.383856,0.313126
R,0.853604,14.8169,-2.83246,-4.25977,0.865046,14.9355,-2.59524,-4.23167,0.0809817,0.090587,0.383296,0.312392
