sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,20.0818,10.3863,0.968259,4.75666,19.873,10.9371,0.816277,4.98579,0.203544,0.244461,0.561925,0.490645
R,20.1271,10.6247,0.845742,4.77652,19.8549,11.1839,0.611833,5.00779,0.204379,0.249793,0.5595,0.488654
L,20.1663,10.864,0.722256,4.7934,19.8824,11.4345,0.49056,5.02112,0.205356,0.255162,0.557106,0.486678
R,20.1993,11.1041,0.597892,4.80727,19.8762,11.7309,0.363014,5.04012,0.206898,0.261632,0.554764,0.484759
L,20.2261,11.3449,0.472738,4.81807,19.8912,11.9829,0.242241,5.04737,0.208584,0.268089,0.552441,0.482855
R,20.2466,11.5861,0.346889,4.82575,19.7599,12.2759,-0.09319,5.0541,0.213169,0.275523,0.55143,0.480977
L,20.2608,11.8275,0.220439,4.83027,19.752,12.5284,-0.223063,5.05004,0.21807,0.282886,0.550465,0.47909
R,20.2687,12.0692,0.093487,4.83159,19.8118,12.7125,-0.20975,5.03108,0.221663,0.288614,0.548583,0.477144
L,20.2701,12.3108,-0.0338694,4.82968,19.7982,12.9638,-0.332911,5.02443,0.225432,0.294328,0.546708,0.47521
R,20.2652,12.5522,-0.161529,4.82451,19.7519,13.1777,-0.538505,4.99819,0.229923,0.299262,0.545327,0.473226
L,20.254,12.7933,-0.28939,4.81605,19.7218,13.4271,-0.66582,4.98283,0.234645,0.304188,0.543966,0.471249
R,20.2363,13.0339,-0.417348,4.80428,19.794,13.5802,-0.71035,4.95628,0.237454,0.307364,0.542142,0.469253
L,20.2122,13.2738,-0.545298,4.78918,19.7553,13.8274,-0.835868,4.93666,0.240433,0.31057,0.540333,0.467273
R,20.1818,13.5129,-0.673135,4.77072,19.7226,14.0416,-0.944813,4.90725,0.243363,0.313287,0.538461,0.46529
L,20.1449,13.7509,-0.800753,4.74892,19.6722,14.2862,-1.06866,4.88178,0.246438,0.316032,0.536599,0.463325
R,20.1017,13.9878,-0.928043,4.72374,19.657,14.468,-1.18845,4.83942,0.248953,0.317908,0.534731,0.461346
