sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,12.0276,21.0996,-4.84773,0.408778,19.0062,15.2223,-3.11421,0.660596,3.10713,4.2169,1.89724,2.49349
L,11.785,21.117,-4.86022,0.286869,18.8505,15.2554,-3.11421,0.660596,3.14762,4.22924,1.89633,2.48582
R,11.5418,21.1283,-4.86971,0.165281,18.8833,14.908,-3.14234,0.374943,3.19099,4.24459,1.89532,2.47809
L,11.2982,21.1335,-4.87623,0.0441057,18.7262,14.9267,-3.14234,0.374943,3.23449,4.25956,1.89436,2.47052
R,11.0544,21.1327,-4.87982,-0.076565,18.5999,14.7466,-3.29703,0.210813,3.27853,4.27594,1.89259,2.46299
L,10.8105,21.1259,-4.88053,-0.196643,18.435,14.7571,-3.29703,0.210813,3.32257,4.29189,1.89085,2.45563
R,10.5666,21.1131,-4.8784,-0.31604,18.01,15.0886,-3.43488,0.393775,3.36303,4.30457,1.88844,2.44876
L,10.3229,21.0943,-4.87349,-0.434674,17.8382,15.1083,-3.43488,0.393775,3.40349,4.31673,1.88604,2.44218
R,10.0795,21.0697,-4.86585,-0.552463,17.3453,15.5373,-3.71346,0.403663,3.43976,4.32508,1.88248,2.43594
L,9.83658,21.0391,-4.85554,-0.669327,17.1597,15.5575,-3.71346,0.403663,3.47595,4.33292,1.87891,2.43006
R,9.59422,21.0028,-4.84262,-0.785189,16.6405,15.9984,-3.89118,0.607097,3.50797,4.33722,1.87475,2.42519
L,9.35258,20.9607,-4.82714,-0.899977,16.4459,16.0288,-3.89118,0.607097,3.53988,4.34098,1.87058,2.42078
R,9.11177,20.9128,-4.80919,-1.01362,16.0145,16.3218,-4.13407,0.452713,3.56894,4.3425,1.86579,2.41627
L,8.87192,20.8594,-4.78881,-1.12605,15.8078,16.3444,-4.13407,0.452713,3.5978,4.34352,1.861,2.41222
R,8.63315,20.8003,-4.76608,-1.2372,15.7989,16.0666,-4.12886,0.15551,3.6287,4.34589,1.85622,2.40754
L,8.39557,20.7358,-4.74108,-1.34701,15.5925,16.0743,-4.12886,0.15551,3.65934,4.34778,1.85143,2.40329
R,8.1593,20.6657,-4.71387,-1.45542,15.262,16.1524,-4.33202,-0.00506299,3.68832,4.34875,1.84633,2.39889
L,7.92445,20.5903,-4.68453,-1.56237,15.0454,16.1521,-4.33202,-0.00506299,3.71695,4.34927,1.84124,2.39493
R,7.69111,20.5096,-4.65313,-1.66781,14.509,16.471,-4.63454,-0.17454,3.74184,4.34757,1.836,2.39076
L,7.45939,20.4237,-4.61975,-1.7717,14.2772,16.4622,-4.63454,-0.17454,3.76628,4.34548,1.83081,2.38702
R,7.22939,20.3326,-4.58448,-1.87399,14.0628,16.3818,-4.68453,-0.26454,3.79045,4.34337,1.82567,2.38336
L,7.00119,20.2364,-4.54738,-1.97462,13.8285,16.3686,-4.68453,-0.26454,3.81414,4.34085,1.82059,2.38013
R,6.7749,20.1352,-4.50854,-2.07357,13.3703,16.5507,-4.85618,-0.279987,3.83517,4.33702,1.81572,2.37727
L,6.55059,20.0292,-4.46805,-2.17079,13.1275,16.5367,-4.85618,-0.279987,3.85567,4.3328,1.81092,2.37486
R,6.32834,19.9183,-4.42598,-2.26625,12.5325,16.8488,-5.09812,-0.346558,3.87247,4.32687,1.80663,2.37259
L,6.10823,19.8027,-4.38241,-2.35993,12.2776,16.8315,-5.09812,-0.346558,3.88871,4.32062,1.80246,2.37078
R,5.89034,19.6824,-4.33744,-2.45178,12.3761,16.4231,-4.9914,-0.737318,3.90749,4.31555,1.7982,2.3677
L,5.67472,19.5577,-4.29114,-2.5418,12.1265,16.3862,-4.9914,-0.737318,3.92568,4.31019,1.79408,2.36502
R,5.46145,19.4284,-4.24359,-2.62995,11.7964,16.3528,-5.12196,-0.846702,3.94257,4.3045,1.7904,2.36228
L,5.25059,19.2948,-4.19488,-2.71622,11.5403,16.3105,-5.12196,-0.846702,3.95883,4.29851,1.7869,2.35991
R,5.04219,19.157,-4.1451,-2.80059,10.8987,16.6059,-5.31565,-0.729717,3.97132,4.2911,1.78418,2.35847
