sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,20.2466,11.5861,0.346889,4.82575,20.3529,11.4574,0.555013,4.30953,0.0866884,0.149207,0.805576,0.850251
L,20.2608,11.8275,0.220439,4.83027,20.4036,11.742,0.57296,4.46923,0.0874203,0.14871,0.802345,0.846794
R,20.2687,12.0692,0.093487,4.83159,20.4293,11.9664,0.657318,4.52785,0.0884328,0.148328,0.800352,0.843169
L,20.2701,12.3108,-0.0338694,4.82968,20.3979,12.3129,0.476945,4.83728,0.0888989,0.147607,0.798046,0.839067
R,20.2652,12.5522,-0.161529,4.82451,20.3669,12.5101,0.0728225,4.54846,0.0890308,0.146954,0.794532,0.835462
L,20.254,12.7933,-0.28939,4.81605,20.3826,12.7761,0.0809596,4.63668,0.0894909,0.146262,0.791565,0.831658
R,20.2363,13.0339,-0.417348,4.80428,20.3719,12.994,-0.0728209,4.52243,0.0900363,0.145622,0.788533,0.828178
L,20.2122,13.2738,-0.545298,4.78918,20.3332,13.2227,-0.146107,4.5402,0.0903743,0.145024,0.785788,0.824651
R,20.1818,13.5129,-0.673135,4.77072,20.3036,13.4327,-0.257548,4.45729,0.0907158,0.144557,0.783163,0.821378
L,20.1449,13.7509,-0.800753,4.74892,20.2716,13.7296,-0.329577,4.63884,0.0911111,0.143907,0.780868,0.817669
R,20.1017,13.9878,-0.928043,4.72374,20.2244,13.9334,-0.570896,4.44708,0.0914473,0.143345,0.778056,0.814371
L,20.0521,14.2233,-1.0549,4.69521,20.1564,14.2241,-0.683509,4.62108,0.091571,0.142698,0.775345,0.810725
R,19.9962,14.4573,-1.18121,4.66331,20.0926,14.4293,-0.855083,4.48014,0.0916153,0.142084,0.772491,0.807283
L,19.934,14.6897,-1.30687,4.62805,19.9688,14.7242,-1.05715,4.67326,0.0912679,0.141491,0.769424,0.803715
R,19.8655,14.9202,-1.43177,4.58944,19.8936,14.9378,-1.16517,4.57963,0.0909049,0.140879,0.766448,0.800182
L,19.7908,15.1486,-1.55581,4.54751,19.8777,15.1567,-1.07096,4.54168,0.0908707,0.140267,0.764447,0.796696
R,19.7099,15.3749,-1.67887,4.50226,19.772,15.3265,-1.59569,4.07308,0.0906617,0.139733,0.761184,0.794255
L,19.6229,15.5989,-1.80085,4.45372,19.7462,15.5108,-1.47173,4.00958,0.0909909,0.139373,0.758535,0.791918
R,19.5298,15.8203,-1.92164,4.40193,19.6589,15.6981,-1.55576,3.93386,0.0913803,0.139237,0.756064,0.789732
L,19.4307,16.039,-2.04114,4.3469,19.5392,15.9436,-1.66797,4.06067,0.091537,0.138926,0.753658,0.786844
R,19.3257,16.2549,-2.15925,4.28868,19.4418,16.1341,-1.71649,4.01618,0.0917686,0.138785,0.751598,0.783954
L,19.2148,16.4679,-2.27586,4.22731,19.3324,16.3302,-1.7649,4.01349,0.0920117,0.138776,0.749926,0.78095
R,19.0981,16.6777,-2.39087,4.16284,19.2229,16.506,-1.95853,3.82283,0.0923277,0.139077,0.747871,0.778351
L,18.9757,16.8841,-2.50418,4.0953,19.0744,16.7551,-2.09515,3.97222,0.0923813,0.138998,0.745738,0.77526
R,18.8477,17.0872,-2.61571,4.02476,18.942,16.914,-2.46682,3.58661,0.092397,0.139307,0.742845,0.77313
L,18.7142,17.2866,-2.72534,3.95127,18.7265,17.2051,-2.72058,3.87078,0.0920333,0.13894,0.739868,0.770065
R,18.5752,17.4822,-2.83299,3.87489,18.6016,17.415,-2.59069,4.01363,0.0916976,0.138517,0.737242,0.767102
L,18.4309,17.674,-2.93858,3.79568,18.3764,17.6436,-2.81481,4.10945,0.0914639,0.137997,0.734416,0.764583
R,18.2814,17.8617,-3.042,3.71372,18.223,17.8337,-2.88432,4.03017,0.0912521,0.137479,0.731674,0.762104
L,18.1268,18.0453,-3.14318,3.62906,18.1147,18.022,-2.79807,3.98842,0.0909039,0.136961,0.729466,0.759804
R,17.9671,18.2246,-3.24204,3.5418,17.9358,18.1681,-3.1135,3.61755,0.0905953,0.136523,0.726742,0.756905
L,17.8026,18.3994,-3.3385,3.45199,17.8318,18.2969,-2.97291,3.48528,0.0902849,0.136295,0.724667,0.754016
R,17.6334,18.5697,-3.43247,3.35973,17.6906,18.4738,-3.04584,3.39273,0.09008,0.136034,0.722701,0.75116
L,17.4595,18.7353,-3.5239,3.26509,17.4853,18.6794,-3.18199,3.48988,0.0897687,0.135609,0.720589,0.748585
R,17.281,18.8962,-3.61271,3.16817,17.2992,18.8146,-3.39285,3.22322,0.0894469,0.135285,0.718146,0.745801
L,17.0983,19.0521,-3.69883,3.06904,17.1547,18.9456,-3.32167,3.14898,0.0892472,0.135095,0.716218,0.743066
R,16.9113,19.203,-3.78221,2.9678,16.9915,19.1015,-3.39739,3.04783,0.0891845,0.134878,0.714342,0.740361
L,16.7201,19.3488,-3.86278,2.86455,16.7711,19.2305,-3.50118,3.01468,0.0889651,0.134765,0.7124,0.737765
R,16.5251,19.4894,-3.9405,2.75938,16.5904,19.3663,-3.64483,2.81766,0.0888165,0.134684,0.710261,0.735104
L,16.3262,19.6246,-4.01531,2.65237,16.3408,19.5576,-3.82293,2.94893,0.0885051,0.134319,0.707889,0.732887
R,16.1237,19.7545,-4.08716,2.54364,16.1063,19.6405,-4.05574,2.61889,0.0882006,0.134185,0.705362,0.730292
L,15.9176,19.8789,-4.15602,2.43329,15.898,19.7945,-4.07948,2.6698,0.0879028,0.133897,0.702885,0.727971
R,15.7082,19.9978,-4.22185,2.32141,15.6888,19.9214,-4.08524,2.66189,0.087608,0.133579,0.7005,0.725965
L,15.4956,20.111,-4.28461,2.2081,15.4526,20.0935,-4.17778,2.75474,0.0873752,0.133119,0.698103,0.724865
R,15.2799,20.2185,-4.34427,2.09347,15.2427,20.222,-4.27787,2.59474,0.0871266,0.132657,0.695697,0.723551
L,15.0613,20.3203,-4.4008,1.97763,15.0743,20.3527,-4.17154,2.58193,0.0868324,0.132226,0.693556,0.722796
R,14.84,20.4162,-4.4542,1.86068,14.8367,20.4306,-4.36247,2.2752,0.0865349,0.131778,0.691218,0.721133
L,14.6161,20.5063,-4.50443,1.74272,14.6267,20.5544,-4.34799,2.29359,0.0862445,0.131389,0.688984,0.72011
R,14.3897,20.5904,-4.55149,1.62386,14.3919,20.632,-4.52033,2.00142,0.0859529,0.130989,0.686657,0.718344
L,14.1611,20.6686,-4.59537,1.50421,14.1443,20.7119,-4.56244,1.9664,0.0856751,0.130596,0.684354,0.71693
R,13.9304,20.7408,-4.63606,1.38386,13.9025,20.7785,-4.70549,1.71138,0.0854194,0.130197,0.682093,0.715037
L,13.6977,20.807,-4.67357,1.26294,13.6161,20.8542,-4.8229,1.70672,0.0853945,0.129822,0.679939,0.71358
R,13.4632,20.8671,-4.70789,1.14153,13.3532,20.8881,-5.02201,1.331,0.0855794,0.129405,0.678177,0.711394
L,13.2271,20.9211,-4.73904,1.01975,13.1179,20.9252,-4.9711,1.26639,0.0857549,0.128982,0.676218,0.709346
R,12.9895,20.969,-4.76702,0.897694,12.8709,20.9839,-5.03028,1.14615,0.086009,0.128568,0.674352,0.707323
L,12.7506,21.0108,-4.79186,0.775469,12.7052,21.0175,-4.81275,1.07306,0.0858088,0.128154,0.672176,0.705442
R,12.5106,21.0465,-4.81358,0.653175,12.4555,21.0467,-4.9208,0.856314,0.0856469,0.127742,0.670073,0.703366
L,12.2695,21.0761,-4.83219,0.530912,12.2061,21.0944,-4.93103,0.867158,0.0855234,0.127343,0.667982,0.701635
R,12.0276,21.0996,-4.84773,0.408778,11.953,21.1137,-5.04303,0.625042,0.0854586,0.126945,0.666046,0.699623
L,11.785,21.117,-4.86022,0.286869,11.7234,21.0859,-4.96299,0.500633,0.0853291,0.126569,0.663998,0.697626
R,11.5418,21.1283,-4.86971,0.165281,11.4592,21.0721,-5.06958,0.267702,0.085312,0.126251,0.662109,0.695489
L,11.2982,21.1335,-4.87623,0.0441057,11.2637,21.0658,-4.91954,0.212738,0.0850901,0.125972,0.660058,0.693453
R,11.0544,21.1327,-4.87982,-0.076565,10.9951,21.0243,-5.03804,-0.0520508,0.0849548,0.12587,0.658135,0.691312
L,10.8105,21.1259,-4.88053,-0.196643,10.8058,20.9869,-4.86995,-0.137456,0.0846946,0.125955,0.656114,0.689204
R,10.5666,21.1131,-4.8784,-0.31604,10.5588,20.974,-4.87611,-0.147978,0.0844382,0.126039,0.65411,0.687225
L,10.3229,21.0943,-4.87349,-0.434674,10.2453,21.0294,-5.07312,-0.0062432,0.0843984,0.125758,0.65231,0.685951
R,10.0795,21.0697,-4.86585,-0.552463,9.98874,21.0093,-5.15641,-0.229281,0.0844383,0.125466,0.650733,0.684341
L,9.83658,21.0391,-4.85554,-0.669327,9.83027,20.9689,-4.89845,-0.309936,0.0841865,0.125208,0.648791,0.682856
R,9.59422,21.0028,-4.84262,-0.785189,9.58594,20.954,-4.90227,-0.320478,0.083938,0.124892,0.646873,0.681764
